Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
21/12/2015, COLON Y ENRIQUE CHAPLIN, CAÍDA, GRAVE, LUNES, 18, PAYSANDU, PAYSANDU, 400255, 6423040 
11/3/2015, DOCTOR ROLDAN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 18, PAYSANDU, NUEVO PAYSANDU, 398725, 6428490 
14/1/2015, CORONEL FELIPE ARGENTO, ATROPELLO DE ANIMALES, LEVE, MIÉRCOLES, 2, PAYSANDU, PAYSANDU, 399655, 6424305 
16/11/2015, JOAQUIN BRANDAO SOSA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 10, PAYSANDU, PAYSANDU, 399905, 6426120 
30/3/2015, GENERAL MANUEL ORIBE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 8, RIO NEGRO, SIN DATOS, 380715, 6332505 
2/3/2015, NO SE INGRESO, ATROPELLO DE ANIMALES, SIN LESIONADOS, LUNES, 7, TACUAREMBO, SIN DATOS, 606855, 6402985 
16/2/2015, COLONIA OFIR, ATROPELLO DE ANIMALES, LEVE, LUNES, 12, RIO NEGRO, SIN DATOS, 394240, 6386500 
30/3/2015, NO SE INGRESO, CAÍDA, LEVE, LUNES, 18, TACUAREMBO, SIN DATOS, 600295, 6492885 
16/11/2015, RIO NEGRO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 14, PAYSANDU, PAYSANDU, 396485, 6423375 
5/10/2015, AVENIDA DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 6, PAYSANDU, PAYSANDU, 397560, 6423955 
13/4/2015, AVENIDA BALTASAR BRUM, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 17, ARTIGAS, ARTIGAS, 551635, 6636075 
31/3/2015, DOCTOR FLORENTINO FELIPPONE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 9, PAYSANDU, PAYSANDU, 398970, 6423955 
23/2/2015, , COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 14, ARTIGAS, CORONADO, 441175, 6648005 
20/4/2015, OSTIA DE GOYA, ATROPELLO DE ANIMALES, SIN LESIONADOS, LUNES, 20, PAYSANDU, NUEVO PAYSANDU, 397460, 6429135 
23/2/2015, ORTIZ Y AYALA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 13, TACUAREMBO, TACUAREMBO, 595620, 6491205 
25/5/2015, GUAYABOS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 11, PAYSANDU, PAYSANDU, 398515, 6421915 
26/8/2015, SARANDI, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 8, TACUAREMBO, TACUAREMBO, 596710, 6490725 
1/4/2015, HERRERA Y OBES, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 11, SALTO, SALTO, 408380, 6529020 
14/12/2015, AVENIDA DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 17, PAYSANDU, PAYSANDU, 397965, 6423905 
26/10/2015, DIEGO LAMAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 18, SALTO, SALTO, 410610, 6527430 
28/12/2015, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 10, TACUAREMBO, TACUAREMBO, 596430, 6490715 
16/2/2015, GENERAL FLORES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 19, TACUAREMBO, TACUAREMBO, 596225, 6490360 
17/11/2015, INTENDENTE OLIVER, DESPISTE, LEVE, MARTES, 6, TACUAREMBO, TACUAREMBO, 593835, 6491955 
8/7/2015, ZELMAR MICHELINI, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 21, PAYSANDU, PAYSANDU, 396920, 6424310 
4/5/2015, JOSE PEDRO VARELA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 15, TACUAREMBO, TACUAREMBO, 597050, 6490945 
29/7/2015, ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 19, PAYSANDU, PAYSANDU, 398105, 6423110 
16/3/2015, GENERAL FRUCTUOSO RIVERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 16, RIO NEGRO, FRAY BENTOS, 377795, 6335110 
3/2/2015, NO SE INGRESO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, LUNES, 23, TACUAREMBO, SIN DATOS, 563085, 6410275 
7/1/2015, AVENIDA SARANDI, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 11, RIVERA, RIVERA, 639380, 6580320 
2/2/2015, BOULEVARD GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 11, PAYSANDU, PAYSANDU, 399445, 6425610 
27/7/2015, 19 DE ABRIL Y INDEPENDENCIA, CAÍDA, LEVE, LUNES, 18, ARTIGAS, TOMAS GOMENSORO, 458000, 6633810 
10/6/2015, ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 18, PAYSANDU, PAYSANDU, 398275, 6424285 
22/7/2015, AVENIDA LIBANO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 14, RIVERA, RIVERA, 640540, 6580205 
20/5/2015, , COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 16, PAYSANDU, SAN FELIX, 397170, 6421820 
23/11/2015, , DESPISTE, LEVE, LUNES, 5, TACUAREMBO, SIN DATOS, 647000, 6468490 
23/3/2015, AV. LUIS BATLLE BERRES, CAÍDA, LEVE, LUNES, 7, SALTO, SIN DATOS, 410685, 6531615 
20/5/2015, BOULEVARD GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 4, PAYSANDU, PAYSANDU, 399360, 6425020 
3/11/2015, , DESPISTE, GRAVE, MARTES, 21, ARTIGAS, CERRO EJIDO, 551260, 6633655 
17/8/2015, AVENIDA SARANDI, CAÍDA, LEVE, LUNES, 9, SALTO, SALTO, 407955, 6526175 
16/3/2015, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 17, RIVERA, TRANQUERAS, 618015, 6548290 
1/12/2015, AVENIDA PARAGUAY, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 20, SALTO, SALTO, 410565, 6528030 
30/3/2015, NACIONES UNIDAS, ATROPELLO DE ANIMALES, LEVE, LUNES, 0, PAYSANDU, CHACRAS DE PAYSANDU, 400040, 6420865 
16/2/2015, VEINTICINCO DE AGOSTO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 19, PAYSANDU, GUICHON, 481065, 6419985 
24/8/2015, AVENIDA SARANDI, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 16, RIVERA, RIVERA, 639815, 6581000 
25/2/2015, JUNCAL, COLISIÓN CON OBSTÁCULO EN CALZADA, GRAVE, MIÉRCOLES, 7, PAYSANDU, PAYSANDU, 398725, 6422830 
11/8/2015, JOAQUIN SUAREZ, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MARTES, 19, TACUAREMBO, TACUAREMBO, 596695, 6491140 
30/3/2015, JUAN DOMINGO ARENA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 22, TACUAREMBO, TACUAREMBO, 597935, 6489375 
27/7/2015, DOCTOR CATALINA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 7, TACUAREMBO, TACUAREMBO, 596650, 6490370 
27/7/2015, RUTA 3 KM 365.500, CAÍDA, LEVE, LUNES, 19, PAYSANDU, CHACRAS DE PAYSANDU, 401550, 6418755 
11/5/2015, NO SE INGRESO, CAÍDA, GRAVE, LUNES, 18, PAYSANDU, CHACRAS DE PAYSANDU, 401460, 6424010 
15/6/2015, TREINTA Y TRES, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 14, ARTIGAS, ARTIGAS, 550960, 6636425 
26/10/2015, AVENIDA MANUEL PATULE, CAÍDA, LEVE, LUNES, 0, SALTO, SALTO, 409580, 6524665 
17/6/2015, ENRIQUE CHAPLIN, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 0, PAYSANDU, PAYSANDU, 400465, 6424655 
3/8/2015, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 9, TACUAREMBO, PASO DE LOS TOROS, 546090, 6369410 
6/7/2015, VIZCONDE DE MAUA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 11, PAYSANDU, PAYSANDU, 398565, 6424895 
9/2/2015, GENERAL FLORES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 18, TACUAREMBO, TACUAREMBO, 597050, 6491225 
8/6/2015, ANDRESITO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 20, PAYSANDU, PAYSANDU, 398470, 6425570 
2/2/2015, GUAYABOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 22, PAYSANDU, PAYSANDU, 398500, 6421795 
13/7/2015, WASHINGTON, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 10, PAYSANDU, PAYSANDU, 398140, 6424305 
24/2/2015, GENERAL LEANDRO GOMEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 23, PAYSANDU, PAYSANDU, 398425, 6423735 
23/2/2015, AVENIDA DE LAS AMERICAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 13, PAYSANDU, NUEVO PAYSANDU, 397985, 6429595 
9/2/2015, AVENIDA JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 18, RIVERA, RIVERA, 639390, 6579375 
12/8/2015, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 19, PAYSANDU, SIN DATOS, 418670, 6471935 
5/10/2015, AVENIDA BRASIL, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 14, RIVERA, RIVERA, 638810, 6580560 
11/5/2015, PRESBITERO HORACIO MERIGGI, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 9, PAYSANDU, PAYSANDU, 398990, 6425075 
11/3/2015, GENERAL MANUEL ORIBE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 12, RIO NEGRO, FRAY BENTOS, 378225, 6334985 
3/3/2015, TREINTA Y TRES, CAÍDA, LEVE, MARTES, 11, TACUAREMBO, TACUAREMBO, 596910, 6490935 
4/5/2015, GENERAL APARICIO SARAVIA, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, LUNES, 7, TACUAREMBO, TACUAREMBO, 596440, 6491670 
25/2/2015, GUAYABOS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 16, PAYSANDU, PAYSANDU, 398765, 6423985 
16/11/2015, VEINTICINCO DE MAYO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 11, PAYSANDU, PAYSANDU, 397670, 6423510 
20/1/2015, MANUEL FREIRE, COLISIÓN CON OBSTÁCULO EN CALZADA, GRAVE, LUNES, 23, TACUAREMBO, TACUAREMBO, 597795, 6492450 
28/12/2015, PRESIDENTE VIERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 7, RIVERA, RIVERA, 639780, 6579340 
8/6/2015, SEGARRA FRANCO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 20, TACUAREMBO, TACUAREMBO, 597230, 6488855 
20/7/2015, PAYSANDU, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 10, RIVERA, RIVERA, 638500, 6581605 
5/1/2015, WILSON FERREIRA ALDUNATE, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 19, ARTIGAS, ARTIGAS, 550995, 6635690 
10/8/2015, JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 19, TACUAREMBO, TACUAREMBO, 597940, 6488920 
23/3/2015, , COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 12, PAYSANDU, PAYSANDU, 400155, 6423800 
16/9/2015, BOLIVAR, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 8, PAYSANDU, PAYSANDU, 398490, 6424350 
13/4/2015, AVENIDA ITALIA, ATROPELLO DE PEATÓN, LEVE, LUNES, 13, RIVERA, RIVERA, 636995, 6579135 
11/5/2015, AGRACIADA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 11, RIVERA, RIVERA, 639400, 6580545 
10/11/2015, GENERAL FRUCTUOSO RIVERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 11, SALTO, SALTO, 408580, 6526725 
4/5/2015, FRANCISCO JAVIER MARTINEZ DE HAEDO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 18, RIO NEGRO, FRAY BENTOS, 377430, 6334875 
21/12/2015, PRESIDENTE VIERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 12, RIVERA, RIVERA, 638965, 6579855 
12/8/2015, PRESIDENTE LUIS BATLLE BERRES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 17, PAYSANDU, PAYSANDU, 397635, 6425035 
24/8/2015, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 8, RIVERA, RIVERA, 638200, 6581310 
16/3/2015, SALTO ESQ. BATLLE Y ORDOÑE, CAÍDA, LEVE, LUNES, 10, PAYSANDU, GUICHON, 481550, 6419980 
7/12/2015, TREINTA Y TRES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 18, TACUAREMBO, TACUAREMBO, 596910, 6490935 
27/1/2015, GENERAL FLORES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 10, TACUAREMBO, TACUAREMBO, 596365, 6490505 
23/12/2015, TREINTA Y TRES ORIENTALES, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 15, PAYSANDU, PAYSANDU, 398150, 6426000 
13/7/2015, AVENIDA BALTASAR BRUM, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 16, ARTIGAS, ARTIGAS, 551695, 6635915 
10/8/2015, SARANDI, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 17, TACUAREMBO, TACUAREMBO, 597060, 6490390 
7/9/2015, WILSON FERREIRA ALDUNATE, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 0, PAYSANDU, PAYSANDU, 398770, 6424870 
3/8/2015, INDEPENDENCIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 12, PAYSANDU, PAYSANDU, 397445, 6423440 
5/10/2015, C. CATALOGNE, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 20, TACUAREMBO, TACUAREMBO, 596740, 6489800 
17/8/2015, SETEMBRINO PEREDA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 16, PAYSANDU, PAYSANDU, 397520, 6423320 
5/5/2015, DOCTOR BERRUTI, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 12, TACUAREMBO, PASO DE LOS TOROS, 545870, 6369635 
23/9/2015, GENERAL GESTIDO, CAÍDA, LEVE, MIÉRCOLES, 0, RIVERA, RIVERA, 638605, 6580815 
21/9/2015, AVENIDA FELICIANO VIERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 23, SALTO, SALTO, 408690, 6527700 
19/1/2015, DOCTOR JOSE VEROCAY, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 19, PAYSANDU, PAYSANDU, 399075, 6423945 
23/3/2015, LIBERTAD, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 19, PAYSANDU, PAYSANDU, 397265, 6423995 
26/1/2015, TREINTA Y TRES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 8, TACUAREMBO, TACUAREMBO, 596370, 6490360 
2/6/2015, AGRACIADA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MARTES, 14, TACUAREMBO, TACUAREMBO, 596000, 6490845 
11/11/2015, SARANDI, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 11, PAYSANDU, PAYSANDU, 397135, 6423820 
15/12/2015, BRASIL, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 15, SALTO, SALTO, 407430, 6527290 
11/3/2015, AVENIDA JOSE ENRIQUE RODO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 8, SALTO, SALTO, 410900, 6527770 
14/7/2015, VEINTICINCO DE MAYO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 17, TACUAREMBO, TACUAREMBO, 595590, 6489975 
18/5/2015, OPORTO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 14, SALTO, SALTO, 406050, 6525515 
23/3/2015, PRESBITERO SOLANO GARCIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 20, PAYSANDU, PAYSANDU, 400000, 6424030 
27/4/2015, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 22, SALTO, SALTO, 407675, 6526980 
15/12/2015, LIBERTAD, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 0, PAYSANDU, PAYSANDU, 397235, 6423805 
30/3/2015, NO SE INGRESO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, LUNES, 10, PAYSANDU, SIN DATOS, 406110, 6410950 
3/8/2015, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 11, PAYSANDU, PAYSANDU, 398120, 6423230 
3/8/2015, AVENIDA SORIANO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 6, PAYSANDU, PAYSANDU, 398215, 6422885 
22/12/2015, GENERAL EUGENIO GARZON, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 20, ARTIGAS, ARTIGAS, 551100, 6636575 
4/8/2015, SIMON BOLIVAR, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 17, TACUAREMBO, TACUAREMBO, 597015, 6490180 
3/3/2015, SARANDI, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 12, TACUAREMBO, TACUAREMBO, 596780, 6490655 
23/3/2015, JUAN ORTIZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 10, TACUAREMBO, TACUAREMBO, 596855, 6490585 
30/3/2015, INDEPENDENCIA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 13, PAYSANDU, PAYSANDU, 397610, 6424190 
17/8/2015, NO SE INGRESO, DESPISTE, LEVE, LUNES, 9, TACUAREMBO, SIN DATOS, 554730, 6396080 
25/2/2015, DEBALI CASI AVDA. RCA. ARGENTINA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 17, PAYSANDU, PAYSANDU, 399800, 6423580 
9/12/2015, JOSE PEDRO VARELA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 13, TACUAREMBO, TACUAREMBO, 596850, 6490730 
21/4/2015, AVENIDA MANUEL ORIBE, CAÍDA, GRAVE, MARTES, 19, RIVERA, RIVERA, 639950, 6579245 
25/5/2015, APAULASA Y VÍA FÉRREA, DESPISTE, GRAVE, LUNES, 15, SALTO, SIN DATOS, 410210, 6523320 
15/6/2015, , CAÍDA, LEVE, LUNES, 20, PAYSANDU, SIN DATOS, 559370, 6450635 
21/12/2015, CARMEN, CAÍDA, LEVE, LUNES, 15, TACUAREMBO, SAN GREGORIO DE POLANCO, 609490, 6390870 
26/10/2015, GENERAL RIVERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 9, ARTIGAS, ARTIGAS, 551635, 6636075 
11/5/2015, GENERAL JUAN ANTONIO LAVALLEJA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 1, RIVERA, RIVERA, 639360, 6580090 
30/3/2015, HENRY DUNNANT, ATROPELLO DE ANIMALES, GRAVE, LUNES, 18, TACUAREMBO, TACUAREMBO, 596995, 6489565 
7/12/2015, TACUAREMBO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 9, PAYSANDU, PAYSANDU, 399170, 6424675 
5/1/2015, RUTA 3, CAÍDA, GRAVE, LUNES, 2, SALTO, SIN DATOS, 433250, 6587190 
20/4/2015, , COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 17, TACUAREMBO, SIN DATOS, 585880, 6489890 
