Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
27/2/2015, , DESPISTE, GRAVE, VIERNES, 16, CANELONES, SIN DATOS, 581080, 6163205 
23/1/2015, RUTA INTERBALNEARIA km. 64, COLISIÓN ENTRE VEHÍCULOS, FATAL, VIERNES, 2, CANELONES, SAN LUIS, 630300, 6151455 
11/12/2015, , CAÍDA, LEVE, VIERNES, 1, FLORIDA, FLORIDA, 572845, 6226880 
9/10/2015, MANUEL ORIBE, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 19, DURAZNO, DURAZNO, 544455, 6306590 
22/5/2015, FERNANDO CARBALLO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 12, COLONIA, COLONIA DEL SACRAMENTO, 426235, 6188965 
16/10/2015, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 22, SORIANO, MERCEDES, 404035, 6320980 
27/1/2015, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 6, SAN JOSE, SIN DATOS, 538400, 6163965 
30/10/2015, EL VIEJO PANCHO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 14, CANELONES, SAN JOSE DE CARRASCO, 591905, 6144135 
17/2/2015, CARLOS MARIA RAMIREZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 21, FLORES, TRINIDAD, 509305, 6290800 
6/11/2015, JOSE M. GARAT, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 20, COLONIA, ROSARIO, 467295, 6202905 
11/8/2015, BLANDENGUES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 11, CANELONES, SIN DATOS, 572905, 6157400 
19/6/2015, DOCTOR POUEY, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 22, CANELONES, SIN DATOS, 571065, 6155910 
28/7/2015, “H” ESQUINA CALLE “4”, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 12, CANELONES, PARQUE DEL PLATA, 616130, 6152960 
23/1/2015, RUTA CIENTOUNO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 21, CANELONES, AEROPUERTO INTERNACIONAL DE CARRASCO, 590085, 6143995 
2/10/2015, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, CAÍDA, GRAVE, VIERNES, 11, SAN JOSE, SAN JOSE DE MAYO, 526950, 6199765 
29/5/2015, WILSON FERREIRA ALDUNATE, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 12, DURAZNO, DURAZNO, 544250, 6305775 
17/4/2015, SANTISIMA TRINIDAD, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 6, FLORES, TRINIDAD, 509820, 6291285 
14/4/2015, ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 14, COLONIA, COLONIA DEL SACRAMENTO, 422550, 6186385 
30/12/2015, VENEZUELA ESQ. GIANNATTASIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 17, CANELONES, PARQUE CARRASCO, 590760, 6142995 
21/8/2015, AVENIDA GENERAL FLORES, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 15, CANELONES, SIN DATOS, 571985, 6156850 
22/5/2015, TREINTA Y TRES, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 20, CANELONES, CANELONES, 566040, 6180305 
21/8/2015, CALLE DIAGONAL Y CALLE C, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 12, CANELONES, PARQUE DEL PLATA, 617085, 6153230 
11/12/2015, DOMINGO BAQUE, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 21, COLONIA, COLONIA DEL SACRAMENTO, 422780, 6186305 
29/5/2015, LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 10, CANELONES, SIN DATOS, 571980, 6157160 
4/12/2015, JOSE ENRIQUE RODO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 9, CANELONES, CANELONES, 565550, 6179470 
24/7/2015, AGRACIADA, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, VIERNES, 14, SORIANO, MERCEDES, 402810, 6320205 
9/1/2015, JOHN F. KENNEDY, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 11, COLONIA, TARARIRAS, 443515, 6208515 
25/9/2015, ELIAS REGULES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 13, CANELONES, SIN DATOS, 571805, 6158945 
29/5/2015, MARTIN ETCHEGOYEN, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 8, DURAZNO, DURAZNO, 544480, 6305770 
4/12/2015, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 13, SAN JOSE, SAN JOSE DE MAYO, 526270, 6199615 
4/12/2015, BRIGADIER GENERAL MANUEL ORIBE, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 0, SAN JOSE, SAN JOSE DE MAYO, 526655, 6201075 
15/5/2015, RUTA SIETE, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 21, CANELONES, TOTORAL DEL SAUCE, 592440, 6164290 
20/11/2015, CALLE 10 ESQUINA CALLE T, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 15, CANELONES, PARQUE DEL PLATA, 616445, 6153740 
26/6/2015, CIRCUNVALACION, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 16, CANELONES, ATLANTIDA, 612815, 6151405 
23/1/2015, RUTA SESENTA Y SIETE, ATROPELLO DE ANIMALES, SIN LESIONADOS, VIERNES, 18, CANELONES, SIN DATOS, 572075, 6158215 
3/5/2015, ITALIA, ATROPELLO DE ANIMALES, LEVE, DOMINGO, 14, CANELONES, SIN DATOS, 570260, 6153550 
27/3/2015, INGENIERO CARLOS A. MAGNONE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 18, SORIANO, MERCEDES, 402595, 6320155 
13/2/2015, LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 22, CANELONES, SIN DATOS, 571980, 6157160 
24/4/2015, PANCHO LOPEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 20, FLORES, TRINIDAD, 509280, 6290225 
3/7/2015, RUTA CESAR MAYO GUTIERREZ, ATROPELLO DE PEATÓN, SIN LESIONADOS, VIERNES, 17, CANELONES, PROGRESO, 570675, 6164480 
22/5/2015, COLON, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 18, SAN JOSE, LIBERTAD, 535280, 6168045 
8/12/2015, , COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, MARTES, 15, FLORES, SIN DATOS, 509510, 6293495 
3/7/2015, VEINTICINCO DE AGOSTO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 18, SAN JOSE, LIBERTAD, 534970, 6167500 
17/7/2015, CAMINO ZELMAR MICHELINI, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 17, DURAZNO, DURAZNO, 546070, 6305925 
16/10/2015, FRANCISCO FONDAR, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 21, FLORES, TRINIDAD, 509550, 6291890 
11/8/2015, DOCTOR MORQUIO, ATROPELLO DE PEATÓN, LEVE, MARTES, 19, DURAZNO, DURAZNO, 545355, 6305615 
9/1/2015, CARLOS CLAUSOLLES, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 21, SAN JOSE, LIBERTAD, 534810, 6167630 
3/7/2015, LOS HIBISCOS Y QUEBRACHO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 12, CANELONES, ESTACION ATLANTIDA, 613500, 6153780 
6/11/2015, RAMBLA DOCTOR PEREA Y SARANDI, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 20, CANELONES, LA FLORESTA, 622325, 6152225 
16/10/2015, SANTIAGO GAYDOU, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 11, COLONIA, COLONIA VALDENSE, 475990, 6200005 
2/1/2015, RUTA INTERBALNEARIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 11, CANELONES, EL PINAR, 596595, 6149030 
5/5/2015, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 18, CANELONES, SIN DATOS, 566740, 6177080 
1/5/2015, COLONIA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 8, COLONIA, FLORENCIO SANCHEZ, 465560, 6251670 
20/11/2015, INSTRUCCIONES DEL AÑO XIII, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 17, DURAZNO, DURAZNO, 543450, 6306545 
30/10/2015, CAMINO LA CANTERA (ESTANCIA "LA AMISTAD"), DESPISTE, LEVE, VIERNES, 19, CANELONES, SIN DATOS, 595860, 6149775 
