Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
8/12/2016, CALLE 20, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 18, COLONIA, JUAN LACAZE, 458585, 6191420 
5/7/2016, , DESPISTE, SIN LESIONADOS, MARTES, 12, CANELONES, SIN DATOS, 625050, 6182455 
5/1/2016, RUTA 8 VIEJA  Y CALLE F , CAÍDA, LEVE, MARTES, 16, CANELONES, OLMOS, 597995, 6159815 
21/9/2016, TELEMACO MORALES, CAÍDA, LEVE, MIÉRCOLES, 22, DURAZNO, DURAZNO, 544730, 6307485 
11/2/2016, TULA SUAREZ DE CUTINELLA, CAÍDA, GRAVE, JUEVES, 20, COLONIA, COLONIA DEL SACRAMENTO, 420450, 6189545 
25/2/2016, GENERAL JUAN ANTONIO LAVALLEJA, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 21, SAN JOSE, LIBERTAD, 535665, 6167860 
31/3/2016, DOCTOR POUEY, ATROPELLO DE PEATÓN, SIN LESIONADOS, JUEVES, 15, CANELONES, SIN DATOS, 571065, 6156380 
29/11/2016, NO SE INGRESO, COLISIÓN CON OBSTÁCULO EN CALZADA, GRAVE, MARTES, 8, SORIANO, SIN DATOS, 438785, 6279630 
16/8/2016, R/74 Y CAMINO DEL ESTE, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 6, CANELONES, JOAQUIN SUAREZ, 588640, 6155915 
19/7/2016, JULIO SOSA, ATROPELLO DE ANIMALES, LEVE, MARTES, 20, CANELONES, SIN DATOS, 571760, 6155705 
2/2/2016, GENERAL JUAN ANTONIO LAVALLEJA, DESPISTE, LEVE, MARTES, 10, SORIANO, VILLA SORIANO, 377200, 6304090 
26/4/2016, , COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 7, CANELONES, VILLA CRESPO Y SAN ANDRES, 581270, 6155250 
10/3/2016, JUAN FREY, CAÍDA, LEVE, JUEVES, 14, COLONIA, NUEVA HELVECIA, 480020, 6206520 
