Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
27/7/2013, AGRACIADA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 17, SALTO, SALTO, 408530, 6527365 
9/3/2013, AGUSTIN TORRES MEDEIROS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 12, TACUAREMBO, TACUAREMBO, 594910, 6489125 
26/1/2013, DOCTOR FLORENTINO FELIPPONE, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 19, PAYSANDU, PAYSANDU, 398880, 6423225 
24/8/2013, AVENIDA DAVINSON, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 23, RIVERA, MINAS DE CORRALES, 645390, 6505795 
13/2/2013, , CAÍDA, LEVE, MIÉRCOLES, 14, ARTIGAS, BELLA UNION, 442020, 6652140 
30/3/2013, GENERAL JOSE G. ARTIGAS, ATROPELLO DE PEATÓN, LEVE, SÁBADO, 13, TACUAREMBO, TACUAREMBO, 596700, 6491000 
14/9/2013, RUTA PUENTE PUERTO esq. CAMINO AL RIO URUGUAY, COLISIÓN ENTRE VEHÍCULOS, FATAL, SÁBADO, 11, RIO NEGRO, FRAY BENTOS, 378685, 6335125 
26/10/2013, DOCTOR BALTASAR BRUM, CAÍDA, LEVE, SÁBADO, 16, PAYSANDU, PAYSANDU, 397485, 6424615 
16/2/2013, , CAÍDA, LEVE, SÁBADO, 3, TACUAREMBO, SIN DATOS, 687780, 6437830 
30/11/2013, , CAÍDA, LEVE, SÁBADO, 16, RIO NEGRO, SIN DATOS, 477480, 6341755 
7/12/2013, CAMINO PARAJE AMARILLO, CAÍDA, SIN LESIONADOS, SÁBADO, 12, RIVERA, SIN DATOS, 682600, 6503615 
2/3/2013, NO SE INGRESO, DESPISTE, LEVE, SÁBADO, 7, RIO NEGRO, SIN DATOS, 404615, 6343670 
28/9/2013, NO SE INGRESO, DESPISTE, LEVE, SÁBADO, 8, TACUAREMBO, SIN DATOS, 580835, 6480705 
29/5/2013, VEINTICINCO DE MAYO, CAÍDA, LEVE, MIÉRCOLES, 9, TACUAREMBO, TACUAREMBO, 596490, 6490930 
5/1/2013, AVENIDA SARANDI, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 1, RIVERA, RIVERA, 639110, 6579890 
3/8/2013, BELLA UNION, CAÍDA, LEVE, SÁBADO, 5, ARTIGAS, ARTIGAS, 549780, 6635945 
16/11/2013, , COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 21, TACUAREMBO, TACUAREMBO, 596570, 6489915 
4/5/2013, CHIQUITO SARAVIA, ATROPELLO DE ANIMALES, LEVE, SÁBADO, 20, TACUAREMBO, TACUAREMBO, 594265, 6487825 
29/5/2013, C. CATALOGNE, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 17, TACUAREMBO, TACUAREMBO, 596300, 6490150 
11/7/2013, BRASIL, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 8, SALTO, SALTO, 407310, 6527315 
26/1/2013, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 0, TACUAREMBO, TACUAREMBO, 596635, 6490930 
9/2/2013, AVENIDA GOBERNADOR DE VIANA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 3, SALTO, SALTO, 409700, 6524645 
13/7/2013, SARANDI, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 3, PAYSANDU, PAYSANDU, 397920, 6423680 
27/4/2013, AVENIDA SORIANO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 19, PAYSANDU, PAYSANDU, 397340, 6423000 
20/3/2013, AGRACIADA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 14, SALTO, SALTO, 409785, 6527230 
26/10/2013, GENERAL MANUEL ORIBE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 5, ARTIGAS, ARTIGAS, 551335, 6636210 
3/4/2013, , ATROPELLO DE PEATÓN, LEVE, MIÉRCOLES, 6, TACUAREMBO, TACUAREMBO, 594345, 6491300 
22/5/2013, NO SE INGRESO, ATROPELLO DE ANIMALES, SIN LESIONADOS, MIÉRCOLES, 6, PAYSANDU, SIN DATOS, 481135, 6419030 
9/2/2013, WASHINGTON, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 21, PAYSANDU, PAYSANDU, 398380, 6424265 
17/8/2013, , COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 6, RIO NEGRO, FRAY BENTOS, 377585, 6334435 
2/2/2013, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 12, ARTIGAS, ARTIGAS, 551885, 6637115 
14/12/2013, AVENIDA CONCORDIA, CAÍDA, LEVE, SÁBADO, 13, SALTO, SALTO, 413160, 6527450 
29/6/2013, TREINTA Y TRES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 18, TACUAREMBO, TACUAREMBO, 596570, 6490580 
10/3/2013, GENERAL JUAN ANTONIO LAVALLEJA, DESPISTE, LEVE, SÁBADO, 23, ARTIGAS, ARTIGAS, 551630, 6636220 
19/1/2013, WASHINGTON BELTRAN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 1, SALTO, SALTO, 409260, 6526015 
22/5/2013, DOCTOR MARTIRINE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 14, RIO NEGRO, YOUNG, 440325, 6381565 
13/11/2013, ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 16, PAYSANDU, PAYSANDU, 398160, 6423550 
23/3/2013, RUTA 3 km. 464, DESPISTE, FATAL, SÁBADO, 13, PAYSANDU, SIN DATOS, 415580, 6497675 
2/11/2013, , DESPISTE, SIN LESIONADOS, SÁBADO, 10, TACUAREMBO, SIN DATOS, 684965, 6448915 
28/9/2013, , CAÍDA, LEVE, SÁBADO, 20, SALTO, SALTO, 413595, 6527055 
28/12/2013, VIZCONDE DE MAUA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 14, PAYSANDU, PAYSANDU, 398685, 6425730 
5/6/2013, AVENIDA ESPAÑA, CAÍDA, LEVE, MIÉRCOLES, 16, PAYSANDU, PAYSANDU, 398845, 6423795 
7/8/2013, JOSE ENRIQUE RODO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 22, RIVERA, RIVERA, 637970, 6581335 
22/5/2013, GENERAL APARICIO SARAVIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 16, TACUAREMBO, TACUAREMBO, 596310, 6491650 
6/2/2013, AVENIDA BRASIL, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 18, RIVERA, RIVERA, 639985, 6579820 
10/10/2013, AVENIDA BLANDENGUES, CAÍDA, LEVE, JUEVES, 1, SALTO, SALTO, 410180, 6527830 
27/3/2013, BOLIVAR, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 14, PAYSANDU, PAYSANDU, 397880, 6424460 
6/4/2013, ZELMAR MICHELINI, CAÍDA, LEVE, SÁBADO, 1, TACUAREMBO, TACUAREMBO, 595220, 6490330 
29/5/2013, AVENIDA BALTASAR BRUM, DESPISTE, LEVE, MIÉRCOLES, 19, ARTIGAS, ARTIGAS, 551710, 6635505 
6/7/2013, WILSON FERREIRA ALDUNATE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 20, PAYSANDU, PAYSANDU, 397980, 6424975 
10/3/2013, ITUZAINGO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 23, PAYSANDU, PAYSANDU, 397215, 6423690 
13/4/2013, NO SE INGRESO, ATROPELLO DE ANIMALES, LEVE, SÁBADO, 19, ARTIGAS, SIN DATOS, 551960, 6634060 
21/12/2013, GENERAL RIVERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 21, ARTIGAS, ARTIGAS, 551775, 6636230 
16/11/2013, AGRACIADA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 12, SALTO, SALTO, 409940, 6527220 
20/7/2013, C. ALZAIBAR, CAÍDA, SIN LESIONADOS, SÁBADO, 6, RIO NEGRO, FRAY BENTOS, 379195, 6333665 
16/2/2013, AVENIDA ITALIA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 5, RIVERA, SANTA TERESA, 636440, 6578755 
5/10/2013, DOCTOR ELIAS ABDO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 17, TACUAREMBO, TACUAREMBO, 595695, 6491000 
5/1/2013, DIECIOCHO DE JULIO, CAÍDA, LEVE, SÁBADO, 10, TACUAREMBO, TACUAREMBO, 596430, 6490715 
10/8/2013, INTENDENTE OLIVER, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 19, TACUAREMBO, TACUAREMBO, 594755, 6491465 
8/6/2013, OSIMANI Y LERENA, CAÍDA, LEVE, SÁBADO, 14, SALTO, SALTO, 408530, 6527365 
21/9/2013, AVENIDA PASCUAL HARRIAGUE, ATROPELLO DE PEATÓN, LEVE, SÁBADO, 22, SALTO, SALTO, 408355, 6526120 
9/2/2013, RUTA 3, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 16, ARTIGAS, CUAREIM, 445000, 6655825 
