Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
15/8/2015, DIECIOCHO DE JULIO, ATROPELLO DE ANIMALES, LEVE, SÁBADO, 18, CERRO LARGO, MELO, 766460, 6414760 
19/12/2015, BR. ARTIGAS CASI AV. AIGUA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 12, MALDONADO, MALDONADO, 687645, 6135230 
4/7/2015, 4 DEOCTUBRE Y EXODO DEL PUEBLO ORIENTAL , COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, SÁBADO, 5, TREINTA Y TRES, TREINTA Y TRES, 743910, 6322125 
19/5/2015, JACINTO MARIA ALVARIZA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MARTES, 16, MALDONADO, SAN CARLOS, 690275, 6149055 
31/1/2015, , CAÍDA, LEVE, SÁBADO, 16, MALDONADO, PUNTA BALLENA, 677790, 6138430 
23/5/2015, RUTA INTERBALNEARIA, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, SÁBADO, 9, MALDONADO, PUNTA BALLENA, 679500, 6135795 
22/8/2015, GENERAL MANUEL ORIBE, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 13, CERRO LARGO, MELO, 766385, 6414330 
25/4/2015, GOLONDRINAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 19, MALDONADO, MALDONADO, 686060, 6136290 
11/7/2015, AGUSTIN PLA, CAÍDA, LEVE, SÁBADO, 21, ROCHA, CASTILLOS, 790085, 6212185 
21/2/2015, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 17, ROCHA, SIN DATOS, 825520, 6258300 
21/7/2015, JOSE PEDRO VARELA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 10, MALDONADO, MALDONADO, 686195, 6135740 
1/12/2015, CARNOUSTIE, CAÍDA, LEVE, MARTES, 10, MALDONADO, SAN RAFAEL - EL PLACER, 691630, 6132305 
24/2/2015, SIMON DEL PINO, CAÍDA, LEVE, MARTES, 7, MALDONADO, MALDONADO, 687705, 6135225 
31/3/2015, RUTA 38 KM 33, DESPISTE, LEVE, MARTES, 13, CERRO LARGO, SIN DATOS, 683850, 6381255 
22/12/2015, A. SARAVIA Y PASO DE LA CADENA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 14, MALDONADO, MALDONADO, 688320, 6134470 
15/12/2015, MISIONES Y ZUFRIATEGUI, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 20, MALDONADO, PIRIAPOLIS, 657275, 6141350 
28/4/2015, MANUEL FREIRE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 16, TREINTA Y TRES, TREINTA Y TRES, 743375, 6320245 
22/9/2015, RUTA 39 km 138.100 Intersección RUTA 9, COLISIÓN ENTRE VEHÍCULOS, FATAL, MARTES, 0, MALDONADO, SIN DATOS, 690700, 6150655 
2/6/2015, WILSON FERREIRA ALDUNATE, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 19, CERRO LARGO, MELO, 765985, 6414935 
8/12/2015, AVENIDA JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 16, MALDONADO, MALDONADO, 686990, 6136360 
9/12/2015, DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 0, LAVALLEJA, MINAS, 661900, 6195590 
21/4/2015, RUTA 18 LAGO MERIN. KM 2.5, ATROPELLO DE ANIMALES, LEVE, MARTES, 20, CERRO LARGO, SIN DATOS, 840595, 6386730 
29/9/2015, LUCIANO MACEDO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 0, TREINTA Y TRES, TREINTA Y TRES, 744235, 6320130 
22/12/2015, JUAN ORTIZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 18, TREINTA Y TRES, TREINTA Y TRES, 744135, 6320005 
25/8/2015, DOCTOR ASCHERI, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 0, MALDONADO, SAN CARLOS, 689955, 6147505 
3/2/2015, RIO BRANCO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 14, MALDONADO, PUNTA DEL ESTE, 687540, 6131540 
20/1/2015, EL MESANA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 12, MALDONADO, PUNTA DEL ESTE, 687975, 6129285 
1/4/2015, JACINTO MARIA ALVARIZA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 15, MALDONADO, SAN CARLOS, 690230, 6148445 
25/8/2015, JUAN DIAZ DE SOLIS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 17, MALDONADO, PUNTA DEL ESTE, 687085, 6128850 
4/8/2015, FRANCIA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 10, MALDONADO, PUNTA DEL ESTE, 688100, 6131375 
3/3/2015, MUÑOZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 8, CERRO LARGO, MELO, 767330, 6414830 
21/7/2015, REUS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 21, CERRO LARGO, MELO, 767420, 6416045 
20/10/2015, FCO. BONILLA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MARTES, 21, MALDONADO, PAN DE AZUCAR, 662620, 6150270 
20/10/2015, RUTA 10 Y LOS ROMANSES, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 16, MALDONADO, LA BARRA, 695825, 6134275 
