Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
1/8/2016,, CAMINO LUSSICH I CAMINO LOS CAMAALOTES , COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 20, MALDONADO, SIN DATOS, 679425, 6138005 
4/6/2016,, JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 19, ROCHA, ROCHA, 744925, 6181585 
1/22/2016,, LAGUNA NEGRA ESQUINA CARRASCO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 19, ROCHA, PUNTA DEL DIABLO, 818745, 6227285 
1/1/2016,,  GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 1, CERRO LARGO, TUPAMBAE, 709455, 6364825 
8/31/2016,, AVENIDA BRASIL ESQUINA ANTONIO FOSATI, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 22, ROCHA, CHUY, 828985, 6266215 
2/26/2016,, LUCAS URRUTIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 16, TREINTA Y TRES, VERGARA, 786060, 6350785 
8/5/2016,, BOULEVARD FRUCTUOSO DEL PUERTO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 18, TREINTA Y TRES, TREINTA Y TRES, 742810, 6319745 
9/16/2016,, VEINTICINCO DE AGOSTO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 18, MALDONADO, SAN CARLOS, 691455, 6148105 
2/12/2016,, NUEVA PARALELA A DIECINUEVE DE ABRIL, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 18, MALDONADO, MALDONADO, 687180, 6135125 
6/3/2016,, TACUAREMBO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 17, MALDONADO, MALDONADO, 687870, 6134530 
6/24/2016,, DIECINUEVE DE ABRIL, CAÍDA, LEVE, VIERNES, 14, MALDONADO, MALDONADO, 686980, 6135620 
3/4/2016,, ITUZAINGO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 7, ROCHA, LASCANO, 758940, 6270660 
1/15/2016,, FRANKLIN DELANO ROOSEVELT Y DIECINUEVE DE ABRIL, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 18, LAVALLEJA, MINAS, 663130, 6193875 
2/10/2016,, FELIZ DE LIZARZA Y RINCON, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 17, MALDONADO, PAN DE AZUCAR, 662335, 6150225 
12/16/2016,, PEREGRINA BALBOA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 17, ROCHA, ROCHA, 745680, 6182440 
7/15/2016,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 20, MALDONADO, SIN DATOS, 687450, 6153030 
1/26/2016,, , COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 19, MALDONADO, SIN DATOS, 690650, 6150675 
7/15/2016,, JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 18, CERRO LARGO, MELO, 767330, 6414830 
8/17/2016,, RUTA 10 KM 120, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 18, MALDONADO, PUNTA BALLENA, 679270, 6137600 
6/3/2016,, SIMON DEL PINO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 20, TREINTA Y TRES, TREINTA Y TRES, 743665, 6320485 
2/5/2016,, LOS MEROS, COLISIÓN CON OBSTÁCULO EN CALZADA, GRAVE, VIERNES, 20, MALDONADO, PUNTA DEL ESTE, 687650, 6129600 
1/20/2016,, AVENIDA APARICIO SARAVIA, CAÍDA, LEVE, MIÉRCOLES, 18, MALDONADO, MALDONADO, 688055, 6134595 
12/23/2016,, BASILIO ARAUJO, ATROPELLO DE ANIMALES, LEVE, VIERNES, 0, TREINTA Y TRES, TREINTA Y TRES, 743220, 6319795 
11/22/2016,, , DESPISTE, SIN LESIONADOS, MARTES, 1, MALDONADO, SIN DATOS, 689140, 6153570 
5/10/2016,, , COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 10, MALDONADO, PAN DE AZUCAR, 662415, 6150165 
7/5/2016,, RINCON, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 14, MALDONADO, MALDONADO, 686785, 6134830 
1/1/2016,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 7, ROCHA, SIN DATOS, 760200, 6162855 
12/2/2016,, VENTURA ALEGRE, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 9, MALDONADO, MALDONADO, 686400, 6135435 
1/8/2016,,  SIN NOMBRE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 18, MALDONADO, PUNTA DEL ESTE, 688375, 6132095 
11/1/2016,, AROSTEGUI Y AMILIVIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 12, LAVALLEJA, MINAS, 662945, 6194725 
1/1/2016,, , CAÍDA, GRAVE, VIERNES, 7, MALDONADO, PUNTA DEL ESTE, 689825, 6133480 
2/5/2016,, PARADA 26 DE LA MANSA, CAÍDA, LEVE, VIERNES, 22, MALDONADO, PINARES - LAS DELICIAS, 685570, 6133790 
8/12/2016,, MANOLO LIMA, CAÍDA, LEVE, VIERNES, 23, MALDONADO, PINARES - LAS DELICIAS, 683200, 6137190 
2/19/2016,, FRANCIA, ATROPELLO DE PEATÓN, LEVE, VIERNES, 8, MALDONADO, PUNTA DEL ESTE, 688415, 6130155 
5/31/2016,, JOAQUÍN SUAREZ esq. AVENIDA GARIBALDI, COLISIÓN ENTRE VEHÍCULOS, FATAL, MARTES, 13, LAVALLEJA, MINAS, 662710, 6195055 
7/26/2016,, COLON, ATROPELLO DE PEATÓN, LEVE, MARTES, 20, CERRO LARGO, MELO, 766955, 6415200 
7/12/2016,, ATANASIO SIERRA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 20, TREINTA Y TRES, TREINTA Y TRES, 743245, 6319595 
3/22/2016,, PUNTA COLORADA Y BAHIA ALGECIROS HM 116300, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 18, MALDONADO, PUNTA BALLENA, 678705, 6137800 
3/11/2016,, RUTA 39 KM 8, CAÍDA, LEVE, VIERNES, 8, MALDONADO, SIN DATOS, 687710, 6140250 
12/23/2016,, TAMESIS, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 6, MALDONADO, PUNTA DEL ESTE, 687865, 6133325 
8/12/2016,, NO SE INGRESO, DESPISTE, LEVE, VIERNES, 18, ROCHA, SIN DATOS, 733925, 6153885 
2/5/2016,, NO SE INGRESO, DESPISTE, LEVE, VIERNES, 9, MALDONADO, SIN DATOS, 661625, 6161045 
1/12/2016,, ITUZAINGO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 10, LAVALLEJA, MINAS, 661985, 6195275 
8/5/2016,, JUANA DE AMERICA CASI CASTEYANO SILVA, DESPISTE, GRAVE, VIERNES, 8, MALDONADO, EL TESORO, 694590, 6135800 
11/11/2016,, LUSSICH, ATROPELLO DE PEATÓN, LEVE, VIERNES, 17, MALDONADO, MALDONADO, 685945, 6136110 
7/19/2016,, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 18, CERRO LARGO, MELO, 767355, 6414255 
1/8/2016,, DIECINUEVE DE ABRIL, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 10, MALDONADO, MALDONADO, 687065, 6135420 
5/20/2016,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 16, MALDONADO, SIN DATOS, 661145, 6149535 
12/23/2016,,  CALLE  --BARRIO FAHID BITTAR, CAÍDA, LEVE, VIERNES, 22, CERRO LARGO, RIO BRANCO, 840050, 6387395 
4/1/2016,, LORENZO BATLLE PACHECO, CAÍDA, LEVE, VIERNES, 21, MALDONADO, PUNTA DEL ESTE, 688400, 6129870 
3/11/2016,, GORLERO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 10, MALDONADO, PUNTA DEL ESTE, 687970, 6129450 
9/23/2016,, ENRIQUE LADOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 20, LAVALLEJA, MINAS, 661430, 6194575 
2/17/2016,, AVENIDA ANTONIO CAMACHO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 15, MALDONADO, PINARES - LAS DELICIAS, 686305, 6134250 
4/15/2016,, RUTA 15 km. 23, DESPISTE, FATAL, VIERNES, 22, ROCHA, SIN DATOS, 749845, 6176985 
3/4/2016,, TRES DE FEBRERO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 22, MALDONADO, MALDONADO, 686695, 6134730 
7/29/2016,, GENERAL JOSE G. ARTIGAS, DESPISTE, SIN LESIONADOS, VIERNES, 2, MALDONADO, PUNTA DEL ESTE, 687525, 6129235 
1/29/2016,, AVENIDA DE LOS GAUCHOS, CAÍDA, LEVE, VIERNES, 16, MALDONADO, MALDONADO, 687875, 6136730 
12/23/2016,, LOS DESTINOS Y RUTA 10, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 19, MALDONADO, LA BARRA, 695150, 6134510 
11/4/2016,, RUTA INTERBALNEAREA KM 89, CAÍDA, GRAVE, VIERNES, 18, MALDONADO, LAS FLORES - ESTACION, 653295, 6148870 
12/23/2016,, AVENIDA ALVARIZA Y HERACLIO FAJARDO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, VIERNES, 0, MALDONADO, SAN CARLOS, 690150, 6147580 
2/5/2016,, DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 19, CERRO LARGO, MELO, 766200, 6415100 
9/16/2016,, SIMON DEL PINO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 7, MALDONADO, MALDONADO, 687705, 6135225 
3/11/2016,, ITALIA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 0, ROCHA, ROCHA, 745945, 6180650 
4/15/2016,, AVENIDA SAN MARTÍN FRENTE A LA ESCUELA NRO. 12 , DESPISTE, LEVE, VIERNES, 5, LAVALLEJA, MINAS, 663585, 6195810 
12/16/2016,, RUTA INTERBALNEARIA KM 118, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 13, MALDONADO, PUNTA BALLENA, 678285, 6138535 
2/3/2016,, FRANCISCO DE LOS SANTOS, CAÍDA, LEVE, MIÉRCOLES, 19, ROCHA, ROCHA, 744190, 6181335 
4/22/2016,, DOROTEO NAVARRETE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 16, CERRO LARGO, MELO, 766660, 6414740 
1/15/2016,, MANUEL MELENDEZ, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 15, TREINTA Y TRES, TREINTA Y TRES, 743390, 6320140 
1/22/2016,,  SIN NOMBRE, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 20, MALDONADO, PUNTA DEL ESTE, 688425, 6131575 
2/26/2016,, RUTA 39 Y AV. ALVARIZA , CAÍDA, LEVE, VIERNES, 10, MALDONADO, SAN CARLOS, 690285, 6149240 
5/20/2016,, DIECINUEVE DE ABRIL, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 21, MALDONADO, MALDONADO, 687060, 6135525 
