Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
1/29/2016,, AVENIDA PEREZ BUTLER, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 19, CANELONES, EL PINAR, 599770, 6148235 
4/15/2016,, M. ORIBE Y P.DELGADO Y MELILLA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 20, DURAZNO, DURAZNO, 543905, 6305570 
8/5/2016,, BATALLA DE GUAYABOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 6, DURAZNO, DURAZNO, 543290, 6306800 
6/21/2016,, RUTA 8 KM 26, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 13, CANELONES, BARROS BLANCOS, 591440, 6153930 
9/21/2016,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 19, SAN JOSE, SIN DATOS, 538085, 6164250 
1/15/2016,, JOSE GOMEZ, CAÍDA, LEVE, VIERNES, 18, DURAZNO, DURAZNO, 543565, 6305520 
3/22/2016,, ROGER BALET, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 17, CANELONES, ATLANTIDA, 613975, 6151420 
1/22/2016,, FLORENCIO SANCHEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 14, SORIANO, MERCEDES, 403120, 6320170 
9/16/2016,, , COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 21, FLORES, TRINIDAD, 509335, 6290220 
12/30/2016,, MARCELINO MOREIRA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 17, CANELONES, SIN DATOS, 584515, 6187350 
6/10/2016,, OLIMAR, CAÍDA, SIN LESIONADOS, VIERNES, 19, CANELONES, SIN DATOS, 571975, 6160280 
7/22/2016,, PLZA ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 21, DURAZNO, DURAZNO, 544145, 6306875 
1/8/2016,, PARALELA A RUTA 51, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 15, COLONIA, LOS PINOS, 477130, 6189845 
4/1/2016,, , COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 21, CANELONES, ALTOS DE LA TAHONA, 593575, 6149560 
10/28/2016,, RUTA INTERBALNEARIA km. 65, ATROPELLO DE PEATÓN, FATAL, VIERNES, 13, CANELONES, LOS TITANES, 631180, 6150900 
7/22/2016,, DEOLINDA RODRIGUEZ DE POLLERO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 8, CANELONES, EMPALME OLMOS, 600695, 6161070 
10/7/2016,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 17, SORIANO, SIN DATOS, 406800, 6321130 
9/16/2016,, MANUEL D RODRIGUEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 23, SAN JOSE, SAN JOSE DE MAYO, 527040, 6201195 
9/27/2016,, CARLOS ROLDAN, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 16, SAN JOSE, MONTE GRANDE, 553915, 6155070 
9/9/2016,, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 13, DURAZNO, DURAZNO, 544185, 6306735 
1/1/2016,, AVENIDA CENTRAL, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 14, CANELONES, LOMAS DE SOLYMAR, 598030, 6147985 
12/2/2016,, AVENIDA GENERAL JOSE GERVASIO ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 15, SAN JOSE, ECILDA PAULLIER, 495200, 6197915 
10/25/2016,, ROMULO CARLO ESQ. COLÓN, ATROPELLO DE PEATÓN, SIN LESIONADOS, MARTES, 12, CANELONES, JOAQUIN SUAREZ, 588400, 6155655 
12/16/2016,, PASO DE LA ARENA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 0, SORIANO, DOLORES, 388155, 6288945 
3/25/2016,, GENERAL JOSE G. ARTIGAS, ATROPELLO DE ANIMALES, LEVE, VIERNES, 19, FLORIDA, SARANDI GRANDE, 562360, 6268095 
6/17/2016,, FRANCISCO ACUÑA DE FIGUEROA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 15, SAN JOSE, SAN JOSE DE MAYO, 525935, 6200070 
10/14/2016,, MARIA A. NIMMO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 19, COLONIA, COLONIA DEL SACRAMENTO, 422575, 6186295 
2/15/2016,, NO SE INGRESO, CAÍDA, LEVE, LUNES, 17, SORIANO, SIN DATOS, 416755, 6297225 
4/1/2016,, , CAÍDA, GRAVE, VIERNES, 12, SORIANO, FLORENCIO SANCHEZ, 467020, 6251915 
11/18/2016,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 16, CANELONES, SIN DATOS, 592695, 6151535 
7/29/2016,, FRANCISCO MENESES, ATROPELLO DE PEATÓN, LEVE, VIERNES, 17, CANELONES, PANDO, 595310, 6158020 
9/2/2016,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 17, CANELONES, CANELONES, 566350, 6180830 
10/25/2016,, NO SE INGRESO, ATROPELLO DE ANIMALES, SIN LESIONADOS, MARTES, 1, FLORIDA, SIN DATOS, 570310, 6239670 
1/19/2016,, ANTONIO M. FERNANDEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 19, FLORIDA, FLORIDA, 572220, 6226950 
11/15/2016,,  GENERAL ARTIGAS, ATROPELLO DE PEATÓN, LEVE, MARTES, 7, CANELONES, PROGRESO, 570450, 6164725 
1/8/2016,, EUSEBIO GIMENEZ, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, VIERNES, 17, SORIANO, MERCEDES, 403280, 6320640 
7/8/2016,, CARIBE , COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 18, SAN JOSE, DELTA DEL TIGRE Y VILLAS, 558415, 6152330 
4/15/2016,, MANUEL CALLEROS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 15, FLORIDA, FLORIDA, 572565, 6226885 
11/8/2016,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 15, CANELONES, SIN DATOS, 567125, 6160020 
3/18/2016,, RUTA INTER KM 48, ATROPELLO DE PEATÓN, GRAVE, VIERNES, 16, CANELONES, SIN DATOS, 614390, 6152305 
8/15/2016,, NO SE INGRESO, CAÍDA, LEVE, LUNES, 17, CANELONES, SIN DATOS, 638480, 6150045 
4/12/2016,, SANTISIMA TRINIDAD, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 12, FLORES, TRINIDAD, 509430, 6291305 
10/24/2016,, NO SE INGRESO, DESPISTE, LEVE, LUNES, 16, SAN JOSE, SIN DATOS, 527300, 6207515 
12/12/2016,, NO SE INGRESO, DESPISTE, SIN LESIONADOS, LUNES, 3, CANELONES, SIN DATOS, 576295, 6156605 
6/27/2016,, RUTA 1 km. 48.000, COLISIÓN ENTRE VEHÍCULOS, FATAL, LUNES, 9, SAN JOSE, SIN DATOS, 537315, 6164910 
8/1/2016,, 19 DE ABRIL Y GRAL. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 13, SORIANO, SIN DATOS, 382655, 6258350 
1/19/2016,, , DESPISTE, LEVE, MARTES, 21, SORIANO, SIN DATOS, 409995, 6321790 
6/27/2016,, SAN MARTIN Y PEDRO FIGARI , CAÍDA, LEVE, LUNES, 19, CANELONES, PASO CARRASCO, 586105, 6141570 
1/5/2016,, GENERAL JUAN ANTONIO LAVALLEJA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 20, SORIANO, MERCEDES, 405090, 6319295 
1/5/2016,, POCHO FERNANDEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 18, FLORIDA, FLORIDA, 571835, 6226995 
2/15/2016,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 8, CANELONES, NEPTUNIA, 603295, 6150780 
11/11/2016,,  ZENON BURGUEÑO, ATROPELLO DE PEATÓN, LEVE, VIERNES, 6, CANELONES, DR. FRANCISCO SOCA, 618750, 6161245 
11/11/2016,, MANUEL LEDESMA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 18, SORIANO, MERCEDES, 403365, 6319915 
11/28/2016,, ACHIRAS, CAÍDA, LEVE, LUNES, 13, CANELONES, SOLYMAR, 595550, 6144740 
1/18/2016,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 8, CANELONES, SALINAS, 606345, 6151355 
10/10/2016,, TRES DE JUNIO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 20, FLORIDA, FLORIDA, 572670, 6227910 
3/15/2016,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 13, CANELONES, EMPALME OLMOS, 601625, 6159470 
6/17/2016,, JOSE PEDRO VARELA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 11, FLORIDA, SARANDI GRANDE, 561905, 6267635 
8/1/2016,, PEREZ Y FUENTES, ATROPELLO DE PEATÓN, LEVE, LUNES, 20, CANELONES, EL PINAR, 601710, 6148875 
11/7/2016,, NO SE INGRESO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, LUNES, 5, FLORIDA, REBOLEDO, 624615, 6237605 
6/20/2016,, RUTA 8 km. 38.400, COLISIÓN ENTRE VEHÍCULOS, FATAL, LUNES, 10, CANELONES, EMPALME OLMOS, 602010, 6159525 
3/7/2016,, RUTA INTERBALNEARIA km. 30.500, COLISIÓN ENTRE VEHÍCULOS, FATAL, LUNES, 10, CANELONES, EL PINAR, 597750, 6149660 
5/13/2016,, AVENIDA ASENCIO, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, VIERNES, 16, SORIANO, MERCEDES, 403625, 6321020 
1/25/2016,, GENERAL JUAN ANTONIO LAVALLEJA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 8, SORIANO, MERCEDES, 404760, 6320820 
9/5/2016,, CORONEL ARROYO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 16, COLONIA, COLONIA DEL SACRAMENTO, 422595, 6185675 
4/15/2016,, RUTA NACIONAL OCHO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 18, CANELONES, PANDO, 595150, 6156965 
7/29/2016,, DOCTOR BALTASAR BRUM, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 19, CANELONES, SIN DATOS, 571065, 6156625 
7/29/2016,, JOAQUIN SUAREZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 12, CANELONES, SANTA LUCIA, 556365, 6187685 
12/26/2016,, GENERAL APARICIO SARAVIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 14, COLONIA, COLONIA DEL SACRAMENTO, 422955, 6186660 
6/17/2016,, DOCTOR MORQUIO, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, VIERNES, 15, DURAZNO, DURAZNO, 544075, 6306335 
10/31/2016,,  JUAN ANTUNEZ, CAÍDA, GRAVE, LUNES, 1, CANELONES, SANTA ANA, 640620, 6149335 
12/30/2016,, PEREZ BUTLER, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 17, CANELONES, EL PINAR, 599590, 6148335 
6/3/2016,, YACARE, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 13, CANELONES, SALINAS, 606155, 6151085 
7/1/2016,, RUTA 1 NUEVA KM29.500, CAÍDA, SIN LESIONADOS, VIERNES, 6, SAN JOSE, DELTA DEL TIGRE Y VILLAS, 555490, 6152665 
5/6/2016,, BUENOS AIRES, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 6, CANELONES, LAGOMAR, 592365, 6144345 
3/11/2016,, JOHN F. KENNEDY, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 20, COLONIA, TARARIRAS, 444025, 6208190 
10/7/2016,, CAMINO ALDABALDE CASI CAMINO SOCOMAN, DESPISTE, SIN LESIONADOS, VIERNES, 5, CANELONES, BARRIO COPOLA, 569370, 6154165 
10/28/2016,, SARANDI, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 15, CANELONES, SANTA LUCIA, 555300, 6187510 
11/14/2016,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 11, CANELONES, BARROS BLANCOS, 591015, 6153655 
1/18/2016,, CERRITO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 15, SORIANO, MERCEDES, 403020, 6320350 
10/31/2016,, DIECIOCHO DE JULIO, CAÍDA, LEVE, LUNES, 19, DURAZNO, DURAZNO, 543830, 6306935 
8/5/2016,, FLORENCIO SANCHEZ, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, VIERNES, 5, SORIANO, MERCEDES, 403665, 6320290 
7/11/2016,, SAN JOSE, ATROPELLO DE PEATÓN, LEVE, LUNES, 12, CANELONES, SAN RAMON, 596445, 6204705 
8/15/2016,, NO SE INGRESO, ATROPELLO DE ANIMALES, SIN LESIONADOS, LUNES, 8, FLORIDA, SIN DATOS, 572030, 6206205 
7/8/2016,, GENERAL JUAN ANTONIO LAVALLEJA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 13, SAN JOSE, SAN JOSE DE MAYO, 527390, 6200275 
1/12/2016,, MANUEL ORIBE, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 0, SORIANO, MERCEDES, 404580, 6319410 
5/16/2016,, NO SE INGRESO, ATROPELLO DE ANIMALES, SIN LESIONADOS, LUNES, 20, DURAZNO, SIN DATOS, 550405, 6344485 
8/22/2016,, NO SE INGRESO, DESPISTE, SIN LESIONADOS, LUNES, 4, CANELONES, SIN DATOS, 594190, 6164160 
1/18/2016,, URUGUAY, ATROPELLO DE ANIMALES, SIN LESIONADOS, LUNES, 0, COLONIA, NUEVA PALMIRA, 369935, 6251255 
11/11/2016,, JOSE ENRIQUE RODO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 19, SAN JOSE, LIBERTAD, 534985, 6167355 
6/20/2016,, NO SE INGRESO, DESPISTE, GRAVE, LUNES, 7, SAN JOSE, SIN DATOS, 502255, 6203820 
9/26/2016,, EUSEBIO GIMENEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 16, SORIANO, MERCEDES, 404550, 6320880 
3/21/2016,, RUTA 5 Y CUATRO PIEDRAS , COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 16, CANELONES, SIN DATOS, 569505, 6165725 
