Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
28/1/2014, ENTRE RIOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 5, PAYSANDU, PAYSANDU, 396995, 6424170 
12/8/2014, CORONEL FELIPE ARGENTO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 8, PAYSANDU, PAYSANDU, 399505, 6423140 
15/7/2014, AGRACIADA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 11, RIVERA, RIVERA, 639235, 6580285 
6/10/2014, HECTOR GUTIERREZ RUIZ, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 19, TACUAREMBO, PASO DE LOS TOROS, 545405, 6370035 
4/6/2014, INTENDENTE ORESTES LANZA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 20, SALTO, SALTO, 407710, 6525510 
4/11/2014, BOLIVAR, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 17, PAYSANDU, PAYSANDU, 397355, 6424530 
28/10/2014, PRESIDENTE VIERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 20, RIVERA, RIVERA, 639055, 6579800 
28/10/2014, SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 15, RIVERA, RIVERA, 638535, 6580130 
21/10/2014, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 2, SALTO, SALTO, 407805, 6526965 
28/5/2014, GENERAL RONDEAU, CAÍDA, LEVE, MIÉRCOLES, 21, ARTIGAS, ARTIGAS, 550185, 6635740 
29/4/2014, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 19, TACUAREMBO, PASO DE LOS TOROS, 544790, 6369600 
