Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
1/18/2016,, BOULEVARD JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 15, MONTEVIDEO, MONTEVIDEO, 576590, 6141215 
6/27/2016,, SALVADOR FERRER SERRA, ATROPELLO DE PEATÓN, LEVE, LUNES, 17, MONTEVIDEO, MONTEVIDEO, 575490, 6138255 
2/1/2016,, DANIEL MUÑOZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 0, MONTEVIDEO, MONTEVIDEO, 575845, 6138170 
3/7/2016,, BOULEVARD JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 18, MONTEVIDEO, MONTEVIDEO, 579265, 6138705 
10/5/2016,, BOULEVARD APARICIO SARAVIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 21, MONTEVIDEO, MONTEVIDEO, 576860, 6144985 
4/27/2016,, JUAN ACOSTA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 12, MONTEVIDEO, MONTEVIDEO, 576500, 6144515 
4/27/2016,, AVENIDA GENERAL RIVERA, CAÍDA, LEVE, MIÉRCOLES, 15, MONTEVIDEO, MONTEVIDEO, 579305, 6137750 
3/16/2016,, AVENIDA GENERAL SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 19, MONTEVIDEO, MONTEVIDEO, 574820, 6141215 
7/13/2016,, CAMINO DOMINGO ARENA, ATROPELLO DE PEATÓN, GRAVE, MIÉRCOLES, 19, MONTEVIDEO, MONTEVIDEO, 578595, 6146900 
8/15/2016,, SUSANA PINTOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 6, MONTEVIDEO, MONTEVIDEO, 581940, 6144250 
11/14/2016,, AVENIDA LUIS BATLLE BERRES, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, LUNES, 9, MONTEVIDEO, MONTEVIDEO, 569780, 6142940 
9/27/2016,, ISLA DE GASPAR, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 16, MONTEVIDEO, MONTEVIDEO, 579755, 6140045 
5/9/2016,, ANTONIO MACHADO, CAÍDA, LEVE, LUNES, 10, MONTEVIDEO, MONTEVIDEO, 575620, 6140930 
9/12/2016,, CERRO LARGO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 13, MONTEVIDEO, MONTEVIDEO, 574360, 6137685 
6/8/2016,, MAGALLANES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 15, MONTEVIDEO, MONTEVIDEO, 575000, 6137285 
6/13/2016,, VENANCIO BENAVIDEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 16, MONTEVIDEO, MONTEVIDEO, 573620, 6141360 
11/28/2016,, AVENIDA DIECIOCHO DE JULIO, CAÍDA, LEVE, LUNES, 10, MONTEVIDEO, MONTEVIDEO, 574180, 6137120 
3/22/2016,, , COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 15, MONTEVIDEO, MONTEVIDEO, 569050, 6141305 
1/11/2016,, DEMOCRACIA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 10, MONTEVIDEO, MONTEVIDEO, 575255, 6138515 
10/4/2016,, MONTE CASEROS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 15, MONTEVIDEO, MONTEVIDEO, 576385, 6139275 
8/22/2016,, JOSE MARIA GUERRA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 11, MONTEVIDEO, MONTEVIDEO, 577730, 6144435 
11/21/2016,, JUAN JACKSON, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 22, MONTEVIDEO, MONTEVIDEO, 575535, 6136915 
2/8/2016,, SAN CARLOS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 18, MONTEVIDEO, MONTEVIDEO, 572265, 6140415 
5/2/2016,, HUMBOLDT, ATROPELLO DE ANIMALES, LEVE, LUNES, 13, MONTEVIDEO, MONTEVIDEO, 569875, 6141155 
3/14/2016,, JOSE ORDEIG, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 22, MONTEVIDEO, MONTEVIDEO, 583325, 6139510 
3/8/2016,, VICTOR HUGO --EX - CAMINO SANTA CATALINA A PUNTA DEL TIGRE--, ATROPELLO DE PEATÓN, LEVE, MARTES, 19, MONTEVIDEO, MONTEVIDEO, 564665, 6138825 
11/2/2016,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 16, MONTEVIDEO, SIN DATOS, 573940, 6149345 
8/22/2016,, AVENIDA HECTOR SCARONE, ATROPELLO DE PEATÓN, LEVE, LUNES, 16, MONTEVIDEO, MONTEVIDEO, 577270, 6138485 
2/29/2016,, SANTIAGO SIERRA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 16, MONTEVIDEO, MONTEVIDEO, 575890, 6142760 
11/28/2016,, EL VIEJO PANCHO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 11, MONTEVIDEO, MONTEVIDEO, 576800, 6136605 
4/11/2016,, AVENIDA SAYAGO, ATROPELLO DE PEATÓN, LEVE, LUNES, 15, MONTEVIDEO, MONTEVIDEO, 571680, 6145090 
11/30/2016,, AVENIDA LUIS BATLLE BERRES, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 18, MONTEVIDEO, MONTEVIDEO, 566530, 6144880 
8/1/2016,, ANDRES LERENA ACEVEDO, CAÍDA, LEVE, LUNES, 13, MONTEVIDEO, MONTEVIDEO, 581045, 6145210 
6/27/2016,, ALBERICO PASSADORE, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, LUNES, 23, MONTEVIDEO, MONTEVIDEO, 571245, 6148225 
2/29/2016,, CAMINO REPETTO, CAÍDA, LEVE, LUNES, 17, MONTEVIDEO, MONTEVIDEO, 583195, 6148835 
11/28/2016,, AVENIDA PUNTA DE RIELES, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 7, MONTEVIDEO, SIN DATOS, 583895, 6144515 
7/4/2016,, AVENIDA LIBERTADOR BRIGADIER GENERAL LAVALLEJA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 7, MONTEVIDEO, MONTEVIDEO, 573670, 6137290 
7/11/2016,, AVENIDA MILLAN, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 0, MONTEVIDEO, MONTEVIDEO, 572575, 6144000 
1/18/2016,, CESAR BATLLE PACHECO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 0, MONTEVIDEO, MONTEVIDEO, 579065, 6145855 
5/16/2016,, TOMAS GOMENSORO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 15, MONTEVIDEO, MONTEVIDEO, 576560, 6140925 
2/16/2016,, VEINTE DE FEBRERO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 12, MONTEVIDEO, MONTEVIDEO, 579025, 6141405 
10/31/2016,, AVENIDA JOSE BELLONI, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, LUNES, 19, MONTEVIDEO, MONTEVIDEO, 579045, 6149975 
8/23/2016,, AVENIDA DOCTOR LUIS MORQUIO, ATROPELLO DE PEATÓN, LEVE, MARTES, 14, MONTEVIDEO, MONTEVIDEO, 576325, 6138055 
6/28/2016,, AVENIDA JOSE BELLONI, COLISIÓN CON OBSTÁCULO EN CALZADA, GRAVE, MARTES, 21, MONTEVIDEO, MONTEVIDEO, 578965, 6148220 
7/18/2016,, BOULEVARD ESPAÑA, ATROPELLO DE PEATÓN, LEVE, LUNES, 11, MONTEVIDEO, MONTEVIDEO, 577330, 6136170 
3/28/2016,, CORONEL BRANDZEN, CAÍDA, LEVE, LUNES, 20, MONTEVIDEO, MONTEVIDEO, 575670, 6137655 
1/6/2016,, AQUILES LANZA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 7, MONTEVIDEO, MONTEVIDEO, 574210, 6136810 
3/2/2016,, AVENIDA URUGUAY, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 11, MONTEVIDEO, MONTEVIDEO, 573645, 6137395 
1/26/2016,, AVENIDA DOCTOR CARLOS MARIA RAMIREZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 7, MONTEVIDEO, MONTEVIDEO, 568865, 6140715 
5/17/2016,, DOCTOR JUAN PAULLIER, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 14, MONTEVIDEO, MONTEVIDEO, 576000, 6137725 
6/13/2016,, DOCTOR MAGESTED, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 22, MONTEVIDEO, MONTEVIDEO, 574420, 6141675 
12/12/2016,, BOULEVARD JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 16, MONTEVIDEO, MONTEVIDEO, 573895, 6143930 
5/2/2016,, AVENIDA GENERAL EUGENIO GARZON, CAÍDA, LEVE, LUNES, 9, MONTEVIDEO, MONTEVIDEO, 571145, 6144080 
8/15/2016,, PATAGONIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 19, MONTEVIDEO, MONTEVIDEO, 567475, 6140205 
6/21/2016,, AVENIDA MILLAN, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 18, MONTEVIDEO, MONTEVIDEO, 573460, 6142485 
8/15/2016,, CAMINO CARRASKO, CAÍDA, SIN LESIONADOS, LUNES, 8, MONTEVIDEO, MONTEVIDEO, 584715, 6140975 
2/15/2016,, PEDRO GIRALT, CAÍDA, LEVE, LUNES, 7, MONTEVIDEO, MONTEVIDEO, 569805, 6141815 
8/8/2016,, PASAJE SAN RAFAEL, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 22, MONTEVIDEO, MONTEVIDEO, 567620, 6140935 
10/17/2016,, JUAN ACOSTA, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, LUNES, 7, MONTEVIDEO, MONTEVIDEO, 576410, 6144935 
12/12/2016,, CAMINO DE LOS GRANJEROS, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, LUNES, 20, MONTEVIDEO, SIN DATOS, 576340, 6152750 
8/2/2016,, MARIANO MORENO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 14, MONTEVIDEO, MONTEVIDEO, 577175, 6139700 
6/6/2016,, AVENIDA DE LAS LEYES, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 15, MONTEVIDEO, MONTEVIDEO, 574420, 6138800 
8/29/2016,, JULIAN LAGUNA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 12, MONTEVIDEO, MONTEVIDEO, 568680, 6144360 
12/19/2016,, CAMINO TOMKINSON, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 4, MONTEVIDEO, SIN DATOS, 562405, 6141380 
3/28/2016,, AVENIDA DE LAS INSTRUCCIONES, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 7, MONTEVIDEO, SIN DATOS, 578130, 6149850 
4/4/2016,, AVENIDA ITALIA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 16, MONTEVIDEO, MONTEVIDEO, 580295, 6139115 
1/18/2016,, AVENIDA GENERAL RONDEAU, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 9, MONTEVIDEO, MONTEVIDEO, 573800, 6137935 
6/20/2016,, NO SE INGRESO, DESPISTE, SIN LESIONADOS, LUNES, 18, MONTEVIDEO, SIN DATOS, 569400, 6150930 
8/22/2016,, FLORENTINO CASTELLANOS, ATROPELLO DE PEATÓN, LEVE, LUNES, 15, MONTEVIDEO, MONTEVIDEO, 574180, 6143330 
12/19/2016,, TEOFILO COLLAZO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 16, MONTEVIDEO, MONTEVIDEO, 579465, 6141330 
9/26/2016,, RAMBLA SUD AMERICA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 9, MONTEVIDEO, MONTEVIDEO, 573580, 6137930 
11/16/2016,, AVENIDA GENERAL SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 19, MONTEVIDEO, MONTEVIDEO, 576045, 6144890 
7/13/2016,, CANELONES, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 22, MONTEVIDEO, MONTEVIDEO, 574105, 6136800 
11/14/2016,, AVENIDA LUIS BATLLE BERRES, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 21, MONTEVIDEO, MONTEVIDEO, 566530, 6144880 
11/14/2016,, AVENIDA GONZALO RAMIREZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 0, MONTEVIDEO, MONTEVIDEO, 574345, 6136390 
11/7/2016,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 15, MONTEVIDEO, SIN DATOS, 560335, 6146065 
8/9/2016,, CAMINO LEONCIO LOPEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 20, MONTEVIDEO, SIN DATOS, 562600, 6143320 
8/30/2016,, MEDIODIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 18, MONTEVIDEO, MONTEVIDEO, 568525, 6150060 
5/9/2016,, LIEJA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 14, MONTEVIDEO, MONTEVIDEO, 586370, 6139785 
5/23/2016,, PEDRO FRANCISCO BERRO, CAÍDA, SIN LESIONADOS, LUNES, 20, MONTEVIDEO, MONTEVIDEO, 577445, 6136210 
6/20/2016,, CARRERAS NACIONALES, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 22, MONTEVIDEO, MONTEVIDEO, 578455, 6143050 
3/7/2016,, MAGALLANES, ATROPELLO DE PEATÓN, LEVE, LUNES, 17, MONTEVIDEO, MONTEVIDEO, 575050, 6137170 
