Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
6/11/2013, F. MATA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 21, CERRO LARGO, MELO, 766770, 6414815 
18/9/2013, CELEDONIO ROJAS, CAÍDA, LEVE, MIÉRCOLES, 18, TREINTA Y TRES, TREINTA Y TRES, 743895, 6320300 
11/6/2013, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MARTES, 13, MALDONADO, SIN DATOS, 687560, 6140010 
24/4/2013, JUAN ORTIZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 15, TREINTA Y TRES, TREINTA Y TRES, 744150, 6319905 
8/5/2013, AVENIDA JOAQUIN DE VIANA (EX ARTIGAS), COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 18, MALDONADO, MALDONADO, 686070, 6135835 
9/7/2013, AVENIDA JUAN ANTONIO LAVALLEJA, CAÍDA, LEVE, MARTES, 7, MALDONADO, MALDONADO, 686495, 6135935 
29/1/2013, AVENIDA FRANKLIN D. ROOSEVELT, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 11, MALDONADO, PINARES - LAS DELICIAS, 685800, 6134735 
9/9/2013, L.A. DE HERRARA Y F. OTORGUES, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 8, TREINTA Y TRES, TREINTA Y TRES, 744860, 6320360 
19/11/2013, CONTINUACION SARANDI, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 12, MALDONADO, MALDONADO, 686445, 6136650 
4/9/2013, NO SE INGRESO, DESPISTE, SIN LESIONADOS, MIÉRCOLES, 8, MALDONADO, RUTA 37 Y 9, 661585, 6148450 
13/8/2013, , CAÍDA, GRAVE, MARTES, 19, MALDONADO, MALDONADO, 687070, 6137055 
5/2/2013, DOS DE FEBRERO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 11, MALDONADO, PUNTA DEL ESTE, 687045, 6128630 
24/6/2013, , ATROPELLO DE PEATÓN, LEVE, LUNES, 19, CERRO LARGO, MELO, 767355, 6414260 
29/5/2013, , DESPISTE, LEVE, MIÉRCOLES, 14, LAVALLEJA, SIN DATOS, 692280, 6287240 
5/2/2013, BOULEVARD GENERAL JOSE G. ARTIGAS, CAÍDA, GRAVE, MARTES, 0, MALDONADO, MALDONADO, 687130, 6137025 
14/5/2013, RAMBLA DE LOS INGLESES Y MONTES DE OCA, CAÍDA, LEVE, MARTES, 15, MALDONADO, PIRIAPOLIS, 657140, 6138270 
2/1/2013, CAMINO CERRO EGUZQUIZA, CAÍDA, LEVE, MIÉRCOLES, 6, MALDONADO, SIN DATOS, 695085, 6138230 
26/11/2013, ZUFRIATEGUY Y MAGALLANES, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 17, MALDONADO, PIRIAPOLIS, 658145, 6142590 
7/5/2013, , COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 18, TREINTA Y TRES, SIN DATOS, 738360, 6314370 
31/7/2013, , CAÍDA, LEVE, MIÉRCOLES, 7, MALDONADO, SAN RAFAEL - EL PLACER, 693950, 6134535 
26/11/2013, SAN CARLOS, CAÍDA, GRAVE, MARTES, 0, MALDONADO, MALDONADO, 686890, 6135425 
18/9/2013, NO SE INGRESO, CAÍDA, LEVE, MIÉRCOLES, 0, CERRO LARGO, TUPAMBAE, 709575, 6364665 
11/2/2013, SAN CIRO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 11, MALDONADO, PUNTA DEL ESTE, 689050, 6131575 
8/1/2013, SIN NOMBRE, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 10, MALDONADO, PUNTA DEL ESTE, 688230, 6132520 
4/11/2013, RUTA 26 KM. 4.500, ATROPELLO DE ANIMALES, GRAVE, LUNES, 2, CERRO LARGO, SIN DATOS, 771360, 6413765 
25/11/2013, JOAQUIN DE PAZ. FRENTE A MEVIR, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 17, CERRO LARGO, RIO BRANCO, 840750, 6387250 
10/12/2013, EJIDO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 15, MALDONADO, SAN CARLOS, 691465, 6148495 
