Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
30/1/2017, DIONISIO CORONEL, DESPISTE, SIN LESIONADOS, LUNES, 1, CERRO LARGO, RIO BRANCO, 840040, 6388960 
16/10/2017, GUARDIA NUEVA, CAÍDA, LEVE, LUNES, 0, CERRO LARGO, MELO, 766560, 6414040 
13/11/2017, COSTANERA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 18, ROCHA, LA AGUADA Y COSTA AZUL, 760865, 6164065 
9/1/2017,  F. DE LIZARZA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 17, MALDONADO, PAN DE AZUCAR, 662420, 6150345 
23/1/2017, ATANASIO SIERRA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 18, MALDONADO, PIRIAPOLIS, 658200, 6140840 
13/3/2017, AV. DEL LAGO Y LOS INMIGRANTES, ATROPELLO DE ANIMALES, LEVE, LUNES, 0, MALDONADO, LA CAPUERA, 670520, 6141415 
6/3/2017, NIZA, COLISIÓN CON OBSTÁCULO EN CALZADA, GRAVE, LUNES, 14, MALDONADO, PIRIAPOLIS, 657670, 6141065 
2/1/2017, ITALIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 12, MALDONADO, PUNTA DEL ESTE, 688740, 6130945 
22/5/2017, 29 CASI 49, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 19, MALDONADO, BALNEARIO BUENOS AIRES, 701700, 6137215 
19/6/2017, EJIDO, ATROPELLO DE PEATÓN, LEVE, LUNES, 17, CERRO LARGO, MELO, 766910, 6415655 
16/1/2017, LAS FOCAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 3, MALDONADO, PUNTA DEL ESTE, 688055, 6129535 
3/7/2017, RUTA 12 KM 374.200, ATROPELLO DE ANIMALES, LEVE, LUNES, 15, MALDONADO, SIN DATOS, 676530, 6170375 
