Fecha	 Calle	 Tipo de Siniestro	 Gravedad	 Dia Semana	 Hora	 Departamento	 Localidad	 X	 Y 
5/2/2017	 DOCTOR MARTIN BERINDUAGUE	 COLISIÓN ENTRE VEHÍCULOS	 LEVE	 MARTES	 17	 MONTEVIDEO	 MONTEVIDEO	 570975	 6141935 
8/24/2017	 NO SE INGRESO	 DESPISTE	 SIN LESIONADOS	 JUEVES	 10	 MONTEVIDEO	 SIN DATOS	 572875	 6149400 
11/16/2017	 JAUREGUIBERRY	 CAÍDA	 LEVE	 JUEVES	 8	 MALDONADO	 LA BARRA	 696795	 6134490 
9/4/2017	 JOSE BATLLE Y ORDOÑEZ	 COLISIÓN ENTRE VEHÍCULOS	 SIN LESIONADOS	 LUNES	 10	 CANELONES	 SAN RAMON	 595985	 6205745 
3/7/2017	 AVENIDA DIECINUEVE DE ABRIL	 COLISIÓN ENTRE VEHÍCULOS	 LEVE	 MARTES	 20	 MONTEVIDEO	 MONTEVIDEO	 573440	 6142085 
2/9/2017	 RUTA 102 Y 101	 CAÍDA	 LEVE	 JUEVES	 19	 CANELONES	 COLONIA NICOLICH	 590650	 6146415 
10/24/2017	  RUTA DE ACCESO	 COLISIÓN ENTRE VEHÍCULOS	 LEVE	 MARTES	 12	 MONTEVIDEO	 MONTEVIDEO	 568790	 6146100 
8/2/2017	 CARSIN	 COLISIÓN ENTRE VEHÍCULOS	 GRAVE	 MIÉRCOLES	 13	 MALDONADO	 LA SONRISA	 685165	 6137090 
12/5/2017	 GENERAL JUAN ANTONIO LAVALLEJA	 CAÍDA	 LEVE	 MARTES	 8	 SORIANO	 CHACRAS DE DOLORES	 386730	 6288310 
6/6/2017	 DOCTOR POUEY	 COLISIÓN ENTRE VEHÍCULOS	 LEVE	 MARTES	 21	 CANELONES	 SIN DATOS	 571065	 6156030 
9/19/2017	 NO SE INGRESO	 ATROPELLO DE PEATÓN	 LEVE	 MARTES	 19	 CANELONES	 VILLA CRESPO Y SAN ANDRES	 582410	 6154790 
4/19/2017	 ANCAP	 COLISIÓN ENTRE VEHÍCULOS	 LEVE	 MIÉRCOLES	 7	 MONTEVIDEO	 SIN DATOS	 585425	 6149625 
8/15/2017	 LEONARDO OLIVERA	 DESPISTE	 SIN LESIONADOS	 MARTES	 20	 MONTEVIDEO	 MONTEVIDEO	 569500	 6140790 
2/28/2017	 NO SE INGRESO	 DESPISTE	 LEVE	 MARTES	 0	 FLORIDA	 SIN DATOS	 556270	 6288995 
5/4/2017	  SIN NOMBRE	 CAÍDA	 LEVE	 JUEVES	 15	 LAVALLEJA	 JOSE PEDRO VARELA	 729965	 6295225 
