Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
5/9/2017,, MONTEVIDEO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 8, PAYSANDU, PAYSANDU, 398050, 6424825 
8/30/2017,, BRASIL, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 19, SALTO, SALTO, 408235, 6527170 
3/29/2017,,  SIN NOMBRE, CAÍDA, LEVE, MIÉRCOLES, 0, SALTO, COLONIA ITAPEBI, 461415, 6532885 
11/7/2017,, BENITO CHAIN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 20, PAYSANDU, PAYSANDU, 399540, 6421930 
8/9/2017,, PRESIDENTE VIERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 22, RIVERA, RIVERA, 637930, 6580510 
11/25/2017,, SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 12, TACUAREMBO, TACUAREMBO, 596295, 6489240 
6/3/2017,, FIGUEROA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 16, RIVERA, RIVERA, 639655, 6580750 
12/16/2017,, LIBERTAD, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 10, PAYSANDU, PAYSANDU, 397075, 6422845 
9/5/2017,, AVENIDA MANUEL ORIBE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 23, SALTO, SALTO, 410965, 6527240 
7/1/2017,, AVENIDA VEINTICINCO DE MAYO, CAÍDA, SIN LESIONADOS, SÁBADO, 21, RIO NEGRO, FRAY BENTOS, 377500, 6334950 
1/21/2017,, WASHINGTON BELTRAN, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 18, SALTO, SALTO, 409160, 6525275 
7/22/2017,, NO SE INGRESO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, SÁBADO, 11, TACUAREMBO, SIN DATOS, 547200, 6381935 
10/31/2017,, REPUBLICA ARGENTINA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 12, PAYSANDU, PAYSANDU, 399385, 6423690 
5/13/2017,, TREINTA Y TRES ORIENTALES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 21, RIVERA, RIVERA, 640080, 6580850 
11/18/2017,, ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 12, PAYSANDU, PAYSANDU, 398350, 6424785 
4/1/2017,, CANDELARIA ARETA DE AMORIN, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 19, SALTO, SALTO, 411270, 6527900 
9/9/2017,, AVENIDA ENRIQUE AMORIN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 10, SALTO, SALTO, 410920, 6528000 
12/9/2017,, PRIMERO DE MAYO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 21, SALTO, SALTO, 409785, 6527230 
3/25/2017,, ZELMAR MICHELINI, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 20, PAYSANDU, PAYSANDU, 396870, 6423945 
3/11/2017,, AVENIDA ESPAÑA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 11, PAYSANDU, PAYSANDU, 398745, 6423800 
7/29/2017,, URUGUAY, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 10, SALTO, SALTO, 408870, 6526980 
8/26/2017,, BRASIL, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 8, SALTO, SALTO, 407720, 6527245 
2/11/2017,, AVENIDA SORIANO, CAÍDA, LEVE, SÁBADO, 21, PAYSANDU, PAYSANDU, 397665, 6422955 
10/7/2017,, AMORIN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 19, SALTO, SALTO, 408105, 6527190 
