Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
10/7/2017,, RAMBLA COSTANERA Y RUTA 10, DESPISTE, LEVE, SÁBADO, 19, CANELONES, PINAMAR - PINEPARK, 604435, 6149805 
2/4/2017,, CARMEN, CAÍDA, SIN LESIONADOS, SÁBADO, 0, COLONIA, CARMELO, 381120, 6237235 
9/9/2017,, RUTA UNO, CAÍDA, LEVE, SÁBADO, 22, COLONIA, COLONIA DEL SACRAMENTO, 424260, 6186465 
8/5/2017,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 15, CANELONES, PARQUE DEL PLATA, 618265, 6153930 
3/25/2017,, SALTO Y FLORES , COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 12, SAN JOSE, DELTA DEL TIGRE Y VILLAS, 556250, 6152465 
12/30/2017,,  AVENIDA SECCO GARCIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 13, CANELONES, SOLYMAR, 593555, 6145105 
12/23/2017,, ALEJANDRO GALLINAL, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 20, FLORIDA, FLORIDA, 572055, 6226790 
4/22/2017,, CARLOS P. PUIG, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 12, SORIANO, DOLORES, 387055, 6289265 
4/29/2017,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 10, CANELONES, COLONIA NICOLICH, 590935, 6145510 
3/4/2017,, CALLE T 1, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 22, CANELONES, PARQUE DEL PLATA, 617870, 6154390 
1/21/2017,, NO SE INGRESO, DESPISTE, SIN LESIONADOS, SÁBADO, 10, SORIANO, SIN DATOS, 407630, 6314485 
12/2/2017,, SAN RAMON, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 11, CANELONES, SIN DATOS, 583295, 6155320 
3/18/2017,, MANUEL CALLEROS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 10, FLORIDA, FLORIDA, 572290, 6227160 
12/2/2017,, GENERAL FRUCTUOSO RIVERA, ATROPELLO DE PEATÓN, GRAVE, SÁBADO, 11, SAN JOSE, SAN JOSE DE MAYO, 525605, 6200430 
1/28/2017,, DOCTOR MORQUIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 20, DURAZNO, DURAZNO, 544620, 6306035 
7/22/2017,, ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 14, CANELONES, CANELONES, 566620, 6179065 
4/22/2017,, VEINTICINCO DE AGOSTO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 11, CANELONES, SIN DATOS, 571600, 6159715 
12/9/2017,, DIECINUEVE DE ABRIL, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 0, COLONIA, OMBUES DE LAVALLE, 424920, 6244430 
5/6/2017,, CAMINO NACIONAL SARANDI, CAÍDA, SIN LESIONADOS, SÁBADO, 20, COLONIA, SIN DATOS, 490150, 6215820 
5/6/2017,, AVENIDA JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 9, CANELONES, SIN DATOS, 571155, 6157035 
7/15/2017,, ARGENTINA, ATROPELLO DE PEATÓN, LEVE, SÁBADO, 23, COLONIA, NUEVA HELVECIA, 477450, 6204270 
8/5/2017,, DOCTOR JULIAN BENGOA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 8, SAN JOSE, SAN JOSE DE MAYO, 526220, 6200325 
9/23/2017,, SARANDI, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 14, SORIANO, MERCEDES, 403835, 6319070 
8/19/2017,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 12, FLORIDA, MENDOZA CHICO, 572070, 6211140 
4/1/2017,,  AVENIDA INGENIERO LUIS GIANNATTASIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 12, CANELONES, LAGOMAR, 592835, 6144585 
8/5/2017,, NO SE INGRESO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, SÁBADO, 19, COLONIA, SIN DATOS, 446210, 6193820 
6/17/2017,, PARALELA A RUTA INTERBALNERIA , COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 18, CANELONES, SALINAS, 605415, 6151175 
8/26/2017,, GARCIA LAGOS, CAÍDA, LEVE, SÁBADO, 11, CANELONES, COLONIA NICOLICH, 589280, 6147075 
7/29/2017,, TREINTA Y TRES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 10, SORIANO, CARDONA, 466120, 6252080 
10/28/2017,, DOCTOR O. GONZALEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 1, FLORIDA, FLORIDA, 571875, 6227445 
5/27/2017,, PERU, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 18, COLONIA, NUEVA PALMIRA, 369205, 6250800 
5/6/2017,, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 3, SORIANO, MERCEDES, 404090, 6320690 
1/28/2017,, CALLE 20 Y AVENIDA CENTRAL. , ATROPELLO DE PEATÓN, LEVE, SÁBADO, 14, CANELONES, ARGENTINO, 641230, 6149355 
4/15/2017,, MANUEL DE LOBO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 17, COLONIA, COLONIA DEL SACRAMENTO, 422620, 6185150 
4/8/2017,, JOSE PEDRO VARELA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 8, COLONIA, TARARIRAS, 443610, 6208100 
9/16/2017,, BRAVO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 18, COLONIA, NUEVA PALMIRA, 370380, 6250965 
12/23/2017,, GENERAL JOSE G. ARTIGAS, CAÍDA, LEVE, SÁBADO, 21, COLONIA, NUEVA PALMIRA, 369500, 6251250 
3/18/2017,, BALTASAR BRUM, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 20, DURAZNO, DURAZNO, 544280, 6306915 
3/25/2017,, RUTA SETENTA Y CINCO Y PELUFFO , COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 18, CANELONES, VIEJO MOLINO SAN BERNARDO, 594660, 6159515 
2/4/2017,, DAMASO ANTONIO LARRAÑAGA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 11, SAN JOSE, SAN JOSE DE MAYO, 525880, 6199775 
